name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
zetadivision,Japanese,personality,VALORANT,5.1,9.901,49.751,1.0,21.0,40400,201000,3,0.0,Friday,Tuesday
elmariana,Spanish,personality,Just Chatting,3.7,11.093,38.471,2.5,3.404,9610000,33299999,328,4.2,Wednesday,Tuesday
angryginge13,English,personality,Grand Theft Auto V,4.8,1.029,348.0,1.7,4.668,935000,316000,80,5.1,Friday,Sunday
lvndmark,English,personality,Escape from Tarkov,9.1,800.0,39.761,1.2,14.685,1260000,62700000,62,6.8,Monday,Friday
nmplol,English,personality,Just Chatting,4.1,550.0,29.722,1.4,6.94,1100000,54700000,161,4.3,Saturday,Saturday
bisteconee,Portuguese,personality,Just Chatting,4.3,675.0,152.0,2.4,4.065,612000,138000,219,6.7,Wednesday,Friday
loltyler1,English,personality,League of Legends,7.7,3.03,178.397,1.3,14.679,5310000,301000000,187,4.8,Wednesday,Tuesday
valorant_jpn,Japanese,esports,VALORANT,7.5,1.378,58.46,1.0,2.985,554000,23400000,2,1.9,Sunday,Saturday
bratishkinoff,Russian,personality,Just Chatting,4.9,1.533,60.566,1.8,8.865,2900000,114000000,482,4.7,Thursday,Wednesday
noway4u_sir,German,personality,League of Legends,7.6,152.0,23.556,1.2,19.176,679000,101000000,101,6.5,Wednesday,Sunday
forsen,English,personality,Just Chatting,6.2,502.0,51.554,2.7,14.686,1750000,171000000,1334,6.1,Wednesday,Sunday
easportsfc,English,esports,FIFA 21,4.8,7.474,129.293,1.0,2.203,3520000,63100000,10,1.2,Friday,Thursday
alondrissa,Spanish,personality,Just Chatting,3.6,921.0,88.0,1.5,2.652,723000,68800,55,5.6,Wednesday,Monday
youngmulti,Polish,personality,Just Chatting,5.8,2.324,16.052,2.2,3.025,1150000,9490000,205,2.9,Tuesday,Monday
s0mcs,English,personality,VALORANT,5.8,741.0,11.273,1.3,8.56,1140000,17400000,72,4.2,Tuesday,Sunday
rainbow6,English,esports,Tom Clancy's Rainbow Six Siege,7.4,2.031,82.334,1.0,8.775,2830000,115000000,2,3.0,Thursday,Sunday
fantasista_jp,Japanese,personality,Grand Theft Auto V,6.3,201.0,44.0,1.1,5.182,267000,58000,55,2.5,Sunday,Saturday
sodapoppin,English,personality,World of Warcraft,7.0,4.259,145.94,3.9,14.929,8890000,398000000,2084,5.4,Saturday,Friday
spursito,Spanish,personality,Just Chatting,2.7,1.282,11.461,1.2,2.918,1460000,13000000,47,2.8,Sunday,Sunday
jltomy,French,personality,Grand Theft Auto V,6.1,630.0,25.285,2.8,12.057,1250000,50300000,239,5.9,Wednesday,Sunday
emiru,English,personality,League of Legends,3.1,1.614,17.198,1.5,3.867,1510000,16100000,133,3.2,Thursday,Monday
recrent,Russian,personality,PUBG: BATTLEGROUNDS,7.7,527.0,30.73,1.6,16.864,1270000,74300000,157,6.3,Tuesday,Wednesday
kanae_2434,Japanese,personality,Grand Theft Auto V,5.2,937.0,2.659,1.4,2.724,582000,1650000,66,1.7,Friday,Saturday
baiano,Portuguese,personality,League of Legends,8.4,879.0,53.242,1.1,10.107,1000000,60500000,22,3.1,Saturday,Saturday
moonmoon,English,personality,Overwatch,6.1,369.0,34.598,1.3,15.957,1190000,99500000,561,6.7,Tuesday,Friday
thebausffs,English,personality,League of Legends,5.5,943.0,16.707,1.0,7.317,1250000,22100000,14,4.4,Monday,Sunday
fissure_cs_eng,English,personality,Counter-Strike,6.0,256.0,18.637,1.0,6.078,147000,14200000,1,1.5,Tuesday,Tuesday
imantado,Spanish,personality,Just Chatting,4.5,683.0,3.173,1.9,5.713,909000,4220000,210,5.8,Wednesday,Sunday
handofblood,German,personality,PUBG: BATTLEGROUNDS,4.8,2.405,50.115,1.7,1.944,1120000,22500000,155,1.0,Wednesday,Saturday
esports_rage,Japanese,esports,Apex Legends,7.8,2.48,36.289,1.0,674.0,209000,3050000,5,0.5,Sunday,Saturday
