name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
dkayed,English,personality,Yu-Gi-Oh! Duel Links,5.5,213.0,34.434,1.3,7.875,212000,34700000,90,3.7,Tuesday,Saturday
teamredline,English,personality,iRacing,3.8,2.052,2.316,1.1,521.0,269000,304000,13,0.6,Wednesday,Saturday
ml7support,English,personality,Overwatch,6.8,450.0,9.513,1.2,12.307,828000,17600000,65,5.1,Wednesday,Wednesday
scrapie,English,personality,Trackmania,4.9,89.0,2.473,1.1,5.773,107000,2970000,41,3.1,Tuesday,Monday
97zoner,Russian,personality,Counter-Strike,5.8,183.0,849.0,1.4,3.229,110000,507000,16,4.2,Friday,Saturday
coreano,Portuguese,personality,VALORANT,8.5,446.0,11.288,1.5,11.605,702000,17800000,150,4.8,Monday,Sunday
daigothebeastv,Japanese,personality,Street Fighter V,4.5,311.0,13.147,1.1,4.523,421000,18200000,51,2.6,Thursday,Sunday
adolfz,Portuguese,personality,FIFA 22,5.0,655.0,10.397,1.3,6.279,768000,12200000,37,3.5,Monday,Saturday
valorant_fr,French,esports,VALORANT,6.2,356.0,13.956,1.0,3.582,209000,8210000,3,1.9,Saturday,Monday
smoke,English,personality,DayZ,8.0,230.0,11.205,1.3,13.025,322000,15700000,58,4.2,Saturday,Friday
bichouu_,French,personality,Grand Theft Auto V,4.9,468.0,10.645,1.9,7.891,789000,17900000,168,5.4,Monday,Tuesday
obormentv,Japanese,personality,League of Legends,5.6,222.0,1.158,1.2,4.347,198000,1030000,83,2.9,Monday,Sunday
diazbiffle,English,personality,Call of Duty: Warzone,5.3,719.0,10.401,1.1,5.355,722000,10400000,26,3.3,Tuesday,Sunday
xaryu,English,personality,World of Warcraft,6.4,189.0,10.871,1.1,15.663,583000,36500000,46,6.2,Wednesday,Tuesday
qojqva,English,personality,Dota 2,7.0,223.0,5.124,1.1,7.462,264000,6350000,9,3.2,Thursday,Sunday
jutysel,Russian,personality,Casino,6.3,1.0,0.0,1.0,13.0,1,0,1,0.5,Wednesday,Monday
symbiolive,Portuguese,personality,Garena Free Fire,20.8,98.0,5.205,1.3,30.982,133000,7050000,20,6.4,Friday,Monday
disguisedtoast,English,personality,Hearthstone,6.0,1.943,63.122,1.7,9.615,2840000,90300000,271,4.1,Friday,Saturday
aspen,English,personality,Overwatch,5.1,289.0,4.303,1.1,6.876,364000,5410000,70,3.7,Tuesday,Sunday
suetam1v4,Portuguese,personality,Fortnite,4.8,426.0,6.193,1.4,7.323,770000,11200000,69,6.0,Friday,Sunday
sidneyeweka,German,personality,Just Chatting,6.0,744.0,8.389,2.1,7.729,1010000,11300000,97,4.2,Monday,Sunday
oldschoolrs,English,personality,Old School RuneScape,1.5,733.0,13.143,1.0,457.0,239000,4040000,2,0.9,Thursday,Saturday
sardoche,French,personality,League of Legends,8.3,646.0,61.9,1.6,17.782,1260000,120000000,177,5.4,Wednesday,Saturday
sinatraa,English,personality,VALORANT,5.5,1.185,31.271,1.4,9.004,1880000,49700000,77,4.2,Tuesday,Sunday
niklaswilson,German,personality,Just Chatting,5.7,796.0,6.18,2.2,6.056,879000,6830000,89,4.9,Thursday,Sunday
spygea,Japanese,personality,PUBG: BATTLEGROUNDS,7.3,232.0,23.312,1.5,16.274,616000,61600000,166,5.7,Saturday,Sunday
erobb221,English,personality,Just Chatting,5.0,279.0,6.943,3.1,9.092,466000,11600000,541,4.8,Wednesday,Thursday
pokelawls,English,personality,Just Chatting,6.9,423.0,19.352,2.8,15.16,1080000,47300000,793,5.5,Tuesday,Saturday
hennie2001,Chinese,personality,Just Chatting,10.2,113.0,1.702,1.9,12.163,125000,1880000,136,5.7,Saturday,Sunday
shinjifromjapanxd,Japanese,personality,Just Chatting,7.4,151.0,5.96,2.0,7.185,171000,6750000,365,3.4,Saturday,Sunday
miniminter,English,personality,Just Chatting,3.4,2.443,53.657,1.6,2.611,2009999,39900000,114,2.0,Friday,Thursday
saadhak,Portuguese,personality,VALORANT,3.5,397.0,1.716,1.1,3.833,402000,1740000,43,3.1,Wednesday,Saturday
nickmercs,English,personality,Fortnite,7.0,3.355,114.372,1.3,14.376,6720000,223000000,59,5.3,Wednesday,Wednesday
tekken,English,esports,Tekken 7,5.3,785.0,81.677,1.0,1.972,260000,29000000,6,0.8,Saturday,Sunday
sliggytv,English,personality,VALORANT,6.2,154.0,292.0,1.0,3.582,98100,196000,5,1.7,Sunday,Sunday
gingitv,English,personality,World of Warcraft,7.4,235.0,22.839,1.0,10.588,348000,33299999,16,3.6,Wednesday,Wednesday
myrajusa,Russian,personality,Slots,13.5,4.0,0.0,1.0,40.0,4,0,1,1.1,Wednesday,Thursday
warthunder_esports,English,personality,War Thunder,4.3,2.432,0.0,1.0,222.0,129000,0,1,0.8,Sunday,Saturday
ayellol,Portuguese,personality,League of Legends,7.6,356.0,7.335,1.4,8.278,452000,9920000,44,2.8,Thursday,Monday
mongraal,English,personality,Fortnite,4.2,7.19,101.8,1.2,3.904,6840000,96900000,72,2.8,Friday,Saturday
ydosyc,Russian,personality,Slots,10.8,6.0,0.0,1.5,43.0,12,0,2,2.0,Monday,Tuesday
lydiaviolet,English,personality,Just Chatting,4.8,598.0,906.0,1.5,2.831,346000,524000,39,4.0,Saturday,Saturday
pubg_battlegrounds,English,esports,PUBG: BATTLEGROUNDS,5.6,1.361,126.506,1.0,3.92,1130000,103000000,2,1.7,Saturday,Wednesday
rubenmartinweb,Spanish,personality,Sports,3.8,225.0,7.771,1.2,2.756,177000,6090000,18,4.1,Monday,Tuesday
edwin_live,Thai,personality,Grand Theft Auto V,7.1,461.0,4.605,1.8,6.763,490000,5030000,87,2.6,Tuesday,Tuesday
the_happy_hob,English,personality,DARK SOULS III,5.6,135.0,8.904,2.0,13.627,342000,21100000,129,6.2,Monday,Monday
prxf0rsaken,English,personality,VALORANT,3.4,759.0,4.036,1.2,2.921,643000,3720000,27,2.5,Friday,Monday
melharucos,Russian,personality,Minecraft,7.7,146.0,31.471,2.2,16.421,428000,80600000,962,5.4,Sunday,Sunday
byilhann,French,personality,Just Chatting,3.5,931.0,12.0,2.0,1.685,468000,6100,166,2.3,Tuesday,Tuesday
shylily,English,personality,Just Chatting,5.0,1.119,3.322,1.7,6.127,1360000,4110000,175,3.1,Friday,Sunday
sajam,English,personality,Just Chatting,3.2,95.0,2.053,1.6,5.484,155000,3300000,129,4.3,Wednesday,Friday
honeypuu,German,personality,Just Chatting,5.8,983.0,9.032,2.3,6.272,965000,8860000,90,3.8,Saturday,Saturday
dvm_medja,French,personality,Grand Theft Auto V,5.3,242.0,4.5,1.9,8.744,364000,6770000,159,5.5,Thursday,Thursday
japanesekoreanug,Japanese,personality,League of Legends,7.0,108.0,4.895,1.2,8.877,147000,6910000,83,3.2,Friday,Sunday
drakeoffc,Russian,personality,Just Chatting,2.6,609.0,4.18,1.8,1.978,461000,3160000,216,3.5,Thursday,Tuesday
philza,English,personality,Minecraft,4.3,3.789,45.321,1.2,5.649,4350000,52000000,66,3.7,Monday,Monday
deqiuv,Spanish,personality,Grand Theft Auto V,4.0,530.0,5.414,1.9,3.803,459000,4690000,79,4.3,Wednesday,Monday
tomato,English,personality,Minecraft,3.6,112.0,6.087,1.3,5.872,162000,8039999,943,4.1,Tuesday,Monday
emeamasters,English,personality,League of Legends,5.8,1.408,48.679,1.0,643.0,158000,5420000,1,0.5,Thursday,Sunday
ronnyberger,German,personality,Just Chatting,4.2,213.0,1.066,1.1,2.756,141000,707000,27,3.1,Thursday,Sunday
revenant,Spanish,personality,Just Chatting,6.0,289.0,21.602,1.9,10.343,467000,34700000,503,4.5,Thursday,Sunday
ecusobe,Russian,personality,Casino,13.9,2.0,0.0,1.0,42.0,2,0,1,0.7,Monday,Sunday
cs2_paragon_ru,Russian,personality,Counter-Strike,8.0,882.0,0.0,1.0,1.187,131000,0,2,2.6,Friday,Saturday
mortdog,English,personality,Teamfight Tactics,6.1,523.0,5.209,1.1,3.205,273000,2720000,29,2.1,Sunday,Sunday
buxexa_v,Portuguese,personality,Virtual Casino,21.1,135.0,0.0,1.0,190.0,2200,0,1,3.2,Tuesday,Tuesday
gssspotted,Thai,personality,Dota 2,6.2,344.0,4.736,2.0,5.347,310000,4270000,181,2.5,Tuesday,Sunday
dogdog,English,personality,Hearthstone,5.6,232.0,30.305,1.3,11.781,642000,70600000,99,5.3,Wednesday,Sunday
kyootbot,English,personality,Just Chatting,5.1,918.0,13.147,1.2,3.152,563000,8060000,24,1.8,Sunday,Wednesday
lxrygirltv,Russian,personality,Casino,4.1,2.0,0.0,1.0,8.0,10500,0,1,1.6,Saturday,Saturday
w0n23,English,personality,Albion Online,8.0,145.0,322.0,1.0,7.766,136000,303000,19,5.6,Monday,Tuesday
ponce,French,personality,Just Chatting,7.1,382.0,29.268,1.8,12.396,793000,60700000,221,4.5,Tuesday,Saturday
shisheyu,French,personality,The Binding of Isaac: Repentance,5.0,53.0,3.126,1.5,11.51,135000,7750000,532,5.9,Wednesday,Sunday
xop0,English,personality,Just Chatting,13.3,46.0,27.589,3.2,34.556,150000,80800000,2980,6.5,Friday,Monday
blackufa,Russian,personality,Just Chatting,6.0,151.0,30.254,2.5,10.869,384000,59200000,1612,4.5,Saturday,Saturday
yoon_froggy,English,personality,Just Chatting,5.1,439.0,334.0,1.6,4.125,372000,283000,91,3.0,Tuesday,Sunday
shotzzy,English,personality,Call of Duty: Warzone,4.2,405.0,2.361,1.3,5.187,473000,2760000,49,3.2,Saturday,Monday
morphe_ya,Russian,personality,Just Chatting,2.7,392.0,2.68,1.8,3.108,455000,3110000,97,5.1,Friday,Monday
helydia,French,personality,VALORANT,3.8,804.0,8.0,1.5,2.309,440000,4500,46,3.7,Sunday,Sunday
pietsmiet,German,personality,Just Chatting,5.4,278.0,27.141,1.7,7.676,796000,59300000,501,3.6,Thursday,Saturday
criticalrole,English,personality,Dungeons & Dragons,4.3,1.818,37.121,1.0,2.942,1350000,32200000,55,1.8,Friday,Friday
rainbow6bravo,English,esports,Tom Clancy's Rainbow Six Siege,7.3,1.54,19.486,1.0,1.481,308000,3860000,2,0.7,Saturday,Tuesday
ryluva,Russian,personality,Casino,5.8,7.0,0.0,1.0,11.0,7,0,1,0.7,Monday,Tuesday
healthygamer_gg,English,personality,Just Chatting,2.4,1.389,15.456,1.0,1.202,668000,7450000,10,2.0,Friday,Friday
baitybait,Spanish,personality,Just Chatting,4.8,628.0,802.0,2.0,2.422,316000,396000,249,4.4,Thursday,Thursday
hitsquadgodfather,English,personality,Just Chatting,22.8,232.0,1.47,1.4,20.429,131000,733000,45,6.5,Monday,Saturday
elchiringuitotv,Spanish,personality,Sports,5.7,403.0,7.318,1.0,7.11,979000,17800000,7,4.3,Tuesday,Sunday
zerospoker,Spanish,personality,Poker,4.5,564.0,8.676,1.0,1.01,113000,1720000,1,0.7,Sunday,Sunday
frg_ox,Russian,personality,Casino,6.2,2.0,0.0,1.0,12.0,579,0,1,0.5,Friday,Friday
danila_gorilla,Russian,personality,Just Chatting,2.6,1.608,1.0,1.2,958.0,608000,287,24,3.1,Thursday,Saturday
golaniyule0,Korean,personality,Just Chatting,5.3,1.653,0.0,1.0,1.02,332000,0,10,3.7,Thursday,Saturday
lol_nemesis,English,personality,League of Legends,6.2,472.0,19.858,1.1,8.727,709000,29800000,61,4.1,Monday,Sunday
fifakillvizualz,English,personality,Call of Duty: Warzone,7.3,211.0,2.111,1.1,17.821,568000,5390000,37,6.2,Wednesday,Sunday
mohaguvy,Russian,personality,Casino,10.4,4.0,0.0,1.0,21.0,4,0,1,0.6,Saturday,Saturday
buxexa_px,Portuguese,personality,Virtual Casino,18.5,82.0,0.0,1.0,222.0,2300,0,1,7.0,Wednesday,Saturday
rebirthztv,Thai,personality,Grand Theft Auto V,7.1,453.0,25.615,1.7,12.741,827000,46400000,242,4.9,Saturday,Monday
shanks_ttv,English,personality,VALORANT,6.2,444.0,6.262,1.3,5.852,504000,7110000,70,4.6,Wednesday,Saturday
metashi12,German,personality,World of Warcraft,6.0,125.0,6.816,1.2,11.21,214000,12000000,103,4.6,Tuesday,Sunday
zakvielchannel,Russian,personality,Minecraft,5.7,329.0,8.428,1.6,6.828,419000,10700000,125,3.1,Sunday,Sunday
calcioberlin,German,personality,Sports,2.5,473.0,2.368,1.0,433.0,93200,431000,7,1.5,Saturday,Tuesday
nl_kripp,English,personality,Hearthstone,6.7,240.0,43.83,1.5,17.281,1520000,264000000,244,6.5,Monday,Thursday
oatley,English,personality,Fortnite,5.7,386.0,2.032,1.0,7.639,544000,2860000,3,4.7,Saturday,Sunday
ufyzehug,Russian,personality,Casino,7.9,3.0,0.0,1.0,16.0,3,0,1,0.4,Wednesday,Thursday
luxurygirl_p,Russian,personality,Casino,5.4,11.0,0.0,1.0,11.0,22,0,1,0.5,Saturday,Sunday
wdgjapan_ow,Japanese,personality,Overwatch 2,4.9,1.015,0.0,1.0,247.0,49900,0,1,0.8,Sunday,Monday
syztmyx,English,personality,Virtual Casino,7.1,196.0,0.0,1.0,14.0,1300,0,1,0.5,Monday,Monday
tororo_vtuber,Japanese,personality,Escape from Tarkov,8.0,382.0,1.489,1.5,10.217,501000,1950000,89,6.1,Friday,Sunday
cblol,Portuguese,esports,League of Legends,4.6,1.033,125.947,1.0,6.151,1620000,233000000,5,3.4,Saturday,Saturday
avyget,Russian,personality,Casino,12.6,11.0,0.0,1.0,25.0,11,0,1,0.4,Thursday,Friday
jackeyy,Thai,personality,Grand Theft Auto V,4.3,509.0,11.742,1.0,3.929,480000,11000000,16,5.4,Saturday,Monday
laculebi,Russian,personality,Slots,6.4,2.0,0.0,1.0,13.0,2,0,1,0.7,Tuesday,Tuesday
nobru_xyn,Portuguese,personality,Virtual Casino,19.2,58.0,0.0,1.0,154.0,1700,0,1,4.0,Monday,Sunday
mago2dgod,Japanese,personality,VALORANT,7.1,209.0,0.0,1.1,3.236,109000,5900,23,4.2,Friday,Sunday
lvpes,Spanish,esports,League of Legends,8.2,486.0,103.086,1.0,14.787,1100000,241000000,10,4.6,Saturday,Saturday
2okos,Hungarian,personality,Just Chatting,4.6,757.0,0.0,1.7,1.337,229000,0,54,4.2,Saturday,Tuesday
deusamir,Spanish,personality,Call of Duty: Warzone,5.3,1.22,2.0,1.6,1.04,221000,364,13,0.7,Thursday,Thursday
jankos,English,personality,League of Legends,4.8,898.0,42.965,1.0,6.627,1310000,61700000,28,3.5,Tuesday,Sunday
welovegames,Russian,personality,Just Chatting,7.2,142.0,38.93,2.2,20.276,492000,122000000,1414,5.4,Thursday,Monday
squeex,English,personality,Super Mario 64,4.1,136.0,180.0,1.6,7.009,200000,266000,245,5.3,Tuesday,Wednesday
n3koglai,Russian,personality,Just Chatting,2.1,7.232,35.995,1.6,725.0,2590000,12900000,24,2.2,Monday,Monday
avoidingthepuddle,English,personality,Tekken 7,4.0,135.0,8.283,1.2,10.328,431000,28600000,594,6.5,Wednesday,Saturday
yukiofps14,Japanese,personality,Apex Legends,5.5,149.0,2.358,1.1,5.002,188000,2970000,31,3.9,Thursday,Sunday
rainelissss,Spanish,personality,Just Chatting,1.4,1.193,3.0,1.3,321.0,254000,714,34,1.7,Thursday,Friday
teepee,English,personality,Call of Duty: Warzone,8.0,463.0,22.913,1.2,15.647,1030000,49400000,43,5.0,Tuesday,Friday
syztmy,English,personality,Slots,3.4,287.0,0.0,1.0,7.0,1300,0,1,0.5,Monday,Sunday
mattp1tommy,English,personality,Sports,2.4,539.0,705.0,1.1,585.0,148000,218000,31,0.6,Saturday,Sunday
kamito_jp,Japanese,personality,Apex Legends,6.2,363.0,260.0,1.2,4.069,278000,200000,37,2.3,Friday,Saturday
nervarien,Polish,personality,League of Legends,5.8,169.0,25.593,1.2,12.059,621000,85400000,62,5.2,Thursday,Sunday
eamaddennfl,English,esports,Madden NFL 21,1.6,391.0,14.111,1.0,2.009,683000,24200000,9,3.2,Thursday,Saturday
kubafps,German,personality,VALORANT,6.5,204.0,857.0,1.2,8.708,274000,1150000,36,3.8,Thursday,Tuesday
brtt,Portuguese,personality,League of Legends,3.9,1.523,46.333,1.2,2.062,984000,46400000,27,1.3,Wednesday,Sunday
singsing,English,personality,Dota 2,8.0,122.0,21.392,1.4,20.043,644000,101000000,528,6.4,Friday,Monday
mokouliszt1,Japanese,personality,Apex Legends,3.3,1.028,13.533,1.3,811.0,240000,3190000,34,1.3,Saturday,Sunday
tangotek,English,personality,Minecraft,3.0,420.0,3.467,1.0,2.006,307000,2430000,70,3.0,Monday,Sunday
silky,English,personality,Just Chatting,7.4,717.0,10.187,1.8,5.029,451000,6410000,51,2.7,Wednesday,Wednesday
redbullbatalla,Spanish,personality,Music,2.3,738.0,13.913,1.0,813.0,203000,3830000,4,1.2,Saturday,Saturday
canalquickie,Spanish,personality,Just Chatting,2.5,2.132,0.0,1.0,28.0,26700,0,2,4.1,Wednesday,Wednesday
blusewilly_retry,Chinese,personality,Just Chatting,6.1,98.0,36.245,1.2,12.495,452000,122000000,508,5.2,Saturday,Thursday
joe_bartolozzi,English,personality,Just Chatting,3.1,1.359,2.792,1.6,3.612,1600000,3280000,361,6.0,Thursday,Sunday
ekylimy,Russian,personality,Casino,3.4,0.0,0.0,1.0,7.0,0,0,1,0.5,Friday,Monday
zwebackhd,English,personality,FIFA 23,4.9,218.0,2.873,1.2,7.158,374000,4200000,53,3.9,Monday,Saturday
quarterjade,English,personality,VALORANT,5.0,1.088,22.999,2.2,6.146,1150000,24400000,231,3.5,Friday,Tuesday
light_starboy,Japanese,personality,Grand Theft Auto V,6.2,459.0,0.0,1.0,1.009,76600,0,3,3.4,Saturday,Saturday
axozer,Spanish,personality,Just Chatting,6.0,2.427,24.144,3.0,7.456,2900000,28900000,439,4.6,Monday,Thursday
lars_tm,English,personality,Trackmania,4.3,48.0,207.0,1.0,3.783,41000,179000,14,2.9,Thursday,Saturday
shlorox,German,personality,Grand Theft Auto V,8.2,192.0,34.522,2.4,15.639,423000,69600000,541,4.9,Sunday,Friday
kr1stw,Chinese,personality,Grand Theft Auto V,6.5,61.0,9.724,1.9,7.447,70900,11400000,274,3.3,Saturday,Sunday
ewroon,Polish,personality,Grand Theft Auto V,4.6,368.0,28.381,1.7,11.299,916000,70700000,153,6.7,Thursday,Thursday
valorant_la,Spanish,esports,VALORANT,5.2,606.0,10.209,1.0,3.661,404000,6800000,2,3.4,Saturday,Sunday
agraelus,Czech,personality,Just Chatting,6.0,250.0,33.508,2.3,15.607,700000,88700000,966,6.7,Monday,Friday
yamatosdeath,English,personality,League of Legends,3.7,158.0,3.472,1.2,5.605,262000,5740000,55,5.1,Wednesday,Sunday
peintooon,Japanese,personality,Grand Theft Auto V,5.8,846.0,399.0,1.3,1.599,256000,121000,49,1.1,Tuesday,Sunday
razah,Portuguese,personality,Tom Clancy's Rainbow Six Siege,7.5,119.0,4.739,1.7,11.367,211000,8410000,68,5.7,Sunday,Friday
maximum,English,personality,World of Warcraft,5.8,333.0,27.261,1.2,10.608,503000,41100000,109,4.8,Wednesday,Tuesday
smthlikeyou11,English,personality,VALORANT,3.8,561.0,1.917,1.0,1.993,337000,1150000,4,3.0,Wednesday,Sunday
nisqyy,French,personality,League of Legends,4.1,348.0,7.162,1.1,3.407,326000,6660000,36,2.2,Monday,Sunday
mrdzinold,Polish,personality,Just Chatting,6.5,635.0,2.882,2.4,6.138,598000,2710000,99,4.6,Tuesday,Tuesday
lysium,English,personality,Grand Theft Auto V,7.0,165.0,6.495,1.3,12.389,299000,11800000,114,5.6,Friday,Thursday
zekken,English,personality,VALORANT,3.1,496.0,346.0,1.1,2.158,396000,276000,39,3.2,Sunday,Tuesday
gytoxydo,Russian,personality,Casino,5.3,0.0,0.0,1.0,11.0,0,0,1,0.4,Tuesday,Wednesday
iitztimmy,English,personality,Apex Legends,8.1,1.683,27.42,1.7,14.451,2830000,46200000,136,5.0,Wednesday,Tuesday
buxexa_e,Portuguese,personality,Slots,19.8,37.0,0.0,1.8,119.0,1500,0,2,1.6,Tuesday,Friday
derajn,English,personality,Marvel Snap,6.1,185.0,4.0,1.3,3.491,89200,7800,51,2.0,Tuesday,Wednesday
zegociv,Russian,personality,Casino,6.3,1.0,0.0,1.0,6.0,1,0,1,0.5,Sunday,Sunday
dhalucard,German,personality,Dead by Daylight,6.0,176.0,15.534,2.1,13.583,546000,43400000,558,5.8,Tuesday,Tuesday
bananirou,Spanish,personality,Just Chatting,4.4,490.0,5.16,2.6,5.405,572000,6020000,216,3.6,Saturday,Monday
olgaenvivo,Spanish,personality,Just Chatting,6.2,616.0,0.0,1.0,1.407,148000,0,2,4.6,Wednesday,Sunday
elglogloking,Spanish,personality,Just Chatting,4.2,425.0,171.0,2.2,3.362,330000,133000,227,5.6,Tuesday,Saturday
putupau,Spanish,personality,Genshin Impact,6.3,269.0,4.9,1.9,11.028,450000,8170000,123,4.4,Friday,Wednesday
klean,English,personality,Escape from Tarkov,7.8,150.0,9.068,1.3,19.8,427000,25800000,156,6.6,Wednesday,Wednesday
iateyourpie,English,personality,Pokemon FireRed/LeafGreen,8.4,28.0,6.269,1.4,20.644,153000,26900000,397,6.3,Tuesday,Tuesday
liminhag0d,Portuguese,personality,Counter-Strike,15.4,594.0,23.4,2.7,16.056,641000,25300000,255,5.5,Thursday,Friday
sneakylol,English,personality,League of Legends,8.7,398.0,40.331,2.2,20.165,1760000,141000000,275,5.9,Thursday,Monday
gmhikaru,English,personality,Chess,4.7,1.239,112.386,1.2,6.679,1910000,175000000,59,4.0,Tuesday,Tuesday
snopey_,Portuguese,personality,Just Chatting,3.5,473.0,991.0,1.6,4.456,607000,1270000,72,5.5,Sunday,Monday
goodtimeswithscar,English,personality,Minecraft,2.6,1.401,4.185,1.0,933.0,525000,1640000,12,0.9,Saturday,Thursday
fl0m,English,personality,Counter-Strike,8.7,196.0,18.93,1.4,23.045,879000,73400000,181,6.7,Tuesday,Sunday
lamc,English,personality,Music,4.3,108.0,37.008,1.1,98.0,2500,852000,2,0.1,Wednesday,Wednesday
strippin,English,personality,League of Legends,7.0,93.0,10.996,1.7,16.291,331000,26800000,506,5.9,Thursday,Tuesday
hudson_om,Portuguese,personality,Virtual Casino,14.1,-424.0,0.0,1.0,56.0,1,0,1,2.3,Wednesday,Thursday
by_owl,Russian,personality,Just Chatting,3.9,271.0,9.997,2.0,8.461,528000,20100000,185,5.3,Wednesday,Tuesday
begizo,Russian,personality,Casino,5.3,2.0,0.0,1.0,11.0,2,0,1,0.6,Monday,Sunday
lynxcerezlol,Turkish,personality,League of Legends,4.0,183.0,5.867,1.1,4.393,217000,6950000,23,3.1,Wednesday,Sunday
midbeast,English,personality,League of Legends,6.4,404.0,20.691,1.0,12.887,841000,43000000,25,5.2,Tuesday,Monday
derzko69,Russian,personality,Just Chatting,3.1,2.208,0.0,2.2,945.0,669000,151,183,2.2,Saturday,Thursday
jidionpremium,English,personality,Just Chatting,3.6,6.449,12.778,1.5,192.0,368000,728000,14,0.3,Thursday,Saturday
emilyywang,English,personality,Teamfight Tactics,6.0,158.0,3.159,1.6,9.673,234000,4700000,110,4.5,Thursday,Monday
jeanmassiet,French,personality,Talk Shows & Podcasts,4.0,151.0,5.751,1.1,9.73,236000,11500000,65,3.8,Tuesday,Sunday
dracon,German,personality,Just Chatting,5.8,28.0,4.772,1.3,13.512,67600,11200000,335,5.9,Sunday,Sunday
helin139,Russian,personality,Counter-Strike,4.0,1.167,0.0,2.1,1.44,454000,0,71,3.8,Saturday,Sunday
thedandangler,English,personality,Just Chatting,4.7,540.0,6.655,1.5,4.963,616000,7590000,27,4.2,Monday,Sunday
matarakan,English,personality,Just Chatting,5.2,1.398,0.0,1.9,841.0,218000,0,45,5.0,Thursday,Monday
iamcristinini,Spanish,personality,Just Chatting,5.6,1.63,46.649,1.9,11.573,3220000,92200000,163,5.3,Monday,Monday
footballbromance,German,personality,Sports,2.9,247.0,15.787,1.1,975.0,90200,5620000,8,1.8,Wednesday,Wednesday
jukes,Portuguese,personality,League of Legends,5.3,1.398,81.549,1.8,8.884,1840000,107000000,79,4.2,Tuesday,Tuesday
rockykramer,English,personality,Music,2.3,5.0,730.0,1.1,1.09,2400,348000,76,2.2,Wednesday,Wednesday
brokybrawkstv,French,personality,Call of Duty: Warzone,4.3,293.0,3.634,1.6,4.625,298000,3570000,93,3.0,Tuesday,Saturday
skill4ltu,English,personality,World of Tanks,7.5,138.0,9.181,1.0,16.166,331000,21800000,3,5.5,Tuesday,Saturday
xarola_,Portuguese,personality,VALORANT,8.0,297.0,359.0,1.6,8.152,296000,359000,217,3.2,Monday,Tuesday
traytonlol,French,personality,League of Legends,5.3,151.0,4.598,1.0,6.063,201000,6130000,15,3.2,Monday,Monday
meduska,Polish,personality,Just Chatting,5.8,694.0,550.0,1.6,1.724,231000,183000,34,1.7,Sunday,Saturday
ferretsoftware,English,personality,Animals Aquariums and Zoos,23.9,371.0,0.0,1.0,10.655,85900,0,1,7.0,Thursday,Monday
willerz,English,personality,Escape from Tarkov,7.2,170.0,4.904,1.1,15.497,390000,11200000,77,6.1,Monday,Sunday
datmodz,English,personality,Path of Exile,9.8,115.0,12.454,1.1,23.204,432000,48200000,111,6.7,Friday,Sunday
altair,French,personality,Just Chatting,7.7,53.0,6.913,1.5,15.535,109000,14200000,631,6.1,Sunday,Sunday
vymago,Russian,personality,Casino,16.3,12.0,0.0,1.0,65.0,23,0,1,2.5,Thursday,Saturday
kxpture,English,personality,Call of Duty: Warzone,6.2,402.0,973.0,1.1,6.473,428000,1040000,18,5.6,Sunday,Sunday
titanlol1,Portuguese,personality,League of Legends,4.0,862.0,10.706,1.2,1.923,334000,4150000,21,1.2,Thursday,Sunday
maxim,German,personality,Teamfight Tactics,4.8,255.0,11.892,1.9,8.609,479000,22300000,468,5.1,Sunday,Sunday
malchugov,Russian,personality,Dota 2,4.0,129.0,46.619,1.3,1.997,71600,26500000,15,1.8,Monday,Monday
edizderbreite,German,personality,Grand Theft Auto V,4.7,330.0,2.658,2.2,5.085,318000,2570000,95,2.8,Tuesday,Tuesday
dz7baile,English,personality,Virtual Casino,2.9,1.0,0.0,1.0,32.0,30000,0,1,1.6,Tuesday,Wednesday
wudijo,English,personality,Diablo III,7.7,207.0,6.323,1.2,13.297,360000,11300000,48,4.4,Saturday,Monday
dota2_maincast,Ukrainian,personality,Dota 2,13.1,177.0,0.0,1.0,4.845,99900,286,3,3.4,Sunday,Sunday
popo,Polish,personality,Just Chatting,4.6,801.0,20.163,2.0,3.462,461000,11600000,119,2.2,Friday,Sunday
itsspoit,English,personality,Tom Clancy's Rainbow Six Siege,3.5,967.0,6.158,1.1,1.822,512000,3260000,21,1.9,Saturday,Monday
staryuuki,Spanish,personality,Just Chatting,4.5,2.104,26.495,2.2,7.725,3360000,42300000,183,4.8,Wednesday,Sunday
controcalcio__,Italian,personality,Sports,2.5,255.0,161.0,1.0,474.0,59100,37100,3,1.2,Monday,Monday
alderiate,French,personality,League of Legends,4.9,355.0,22.342,1.2,5.69,447000,26900000,78,3.0,Sunday,Saturday
trebor,Spanish,personality,Brawl Stars,2.6,501.0,1.78,1.0,2.812,554000,1970000,15,5.1,Tuesday,Monday
juanicar_,Spanish,personality,Just Chatting,1.4,4.203,0.0,1.0,69.0,207000,0,1,2.9,Monday,Saturday
axtlol,Portuguese,personality,League of Legends,6.9,475.0,31.951,1.6,13.16,897000,60800000,90,4.8,Saturday,Thursday
gcxevent,English,personality,Destiny 2,12.9,2.476,387.406,4.1,1.407,236000,32000000,126,0.3,Friday,Wednesday
imls,English,esports,League of Legends,6.1,363.0,22.513,1.0,9.609,659000,40100000,21,4.0,Sunday,Saturday
